codigo,data_aquisicao,valor_aquisicao,custo_aquisicao,fonte,id_origem,vencimento_ref,observacao,confianca_inferencia,produto_origem,indexador_origem
21A00390271,2026-04-07,146.4,146.4,posicao_detalhada_2026_04_08,,2026-07-01,venc=2026-07-01; qty=10806.0; pu=0.01; score=28,alta,LCI BANCO SANTANDER SA - JUL/2026,PREFIXADO
21B00071725,2026-04-01,2760.98,2760.98,posicao_detalhada_2026_04_08,,2027-02-03,venc=2027-02-03; qty=2.0; pu=1383.36; score=13,alta,LCA BTG PACTUAL - FEV/2027,PREFIXADO
21C00573069,2026-04-01,5710.0,5710.0,posicao_detalhada_2026_04_08,,2027-03-15,venc=2027-03-15; qty=4.0; pu=1430.47; score=13,alta,LCA BTG PACTUAL - MAR/2027,PREFIXADO
21J00652572,2026-04-01,1522.59,1522.59,posicao_detalhada_2026_04_08,,2026-10-14,venc=2026-10-14; qty=1.0; pu=1525.76; score=21,alta,LCA BTG PACTUAL - OUT/2026,PREFIXADO
21J00680410,2026-04-01,3070.41,3070.41,posicao_detalhada_2026_04_08,,2026-10-19,venc=2026-10-19; qty=2.0; pu=1538.4; score=21,alta,LCA BTG PACTUAL - OUT/2026,PREFIXADO
22A00698268,2026-04-07,2469.04,2469.04,posicao_detalhada_2026_04_08,,2032-01-23,venc=2032-01-23; qty=2.0; pu=1235.26; score=13,alta,LCA BTG PACTUAL - JAN/2032,IPCA
23K02257805,2026-02-24,1306.8,1306.8,posicao_detalhada_2026_04_08,,2028-11-22,venc=2028-11-22; qty=1.0; pu=1328.44; score=11,media,LCA BANCO CNH CAPITAL S/A - NOV/2028,DI
23K02257805,2026-03-25,7931.81,7931.81,posicao_detalhada_2026_04_08,,2028-11-22,venc=2028-11-22; qty=6.0; pu=1328.44; score=11,media,LCA BANCO CNH CAPITAL S/A - NOV/2028,DI
24F02320837,2026-03-25,19601.13,19601.13,historico_original_codigo,,,,,,
24G02045774,2026-03-25,7300.9,7300.9,historico_original_codigo,,,,,,
24J04993393,2026-04-07,10185.21,10185.21,posicao_detalhada_2026_04_08,,2026-10-30,venc=2026-10-30; qty=103.0; pu=98.94; score=26,alta,LCA BANCO BV S/A - JURO MENSAL - OUT/2026,PREFIXADO
25A02306041,2025-12-10,4496.85,4496.85,historico_original_codigo,,,,,,
25A02529513,2025-12-11,1123.82,1123.82,historico_original_codigo,,,,,,
25A02788785,2025-12-04,7848.26,7848.26,historico_original_codigo,,,,,,
25A02788791,2025-12-12,7827.97,7827.97,historico_original_codigo,,,,,,
25B02178918,2025-12-11,55608.8,55608.8,historico_original_codigo,,,,,,
25C03943216,2025-12-10,64689.88,64689.88,historico_original_codigo,,,,,,
25C04602211,2026-03-31,98.0,98.0,posicao_detalhada_2026_04_08,,2029-03-26,venc=2029-03-26; qty=1.0; pu=98.23; score=20,alta,LCA BANCO BV S/A - JURO MENSAL - MAR/2029,PREFIXADO
25G04173307,2026-03-31,1195.53,1195.53,posicao_detalhada_2026_04_08,,2026-04-20,venc=2026-04-20; qty=11.0; pu=109.0; score=26,alta,LCA BANCO BV S/A - ABR/2026,PREFIXADO
25H00071686\r,2025-12-08,11427.21,11427.21,historico_original_codigo,,,,,,
